"dauid","immig_1","immig_2","lim","lico","vismin","pop"
35200002,15.00,15.00,50.00,25.00,370.00,356.00
35200003,10.00,10.00,40.00,35.00,275.00,335.00
35200004,15.00,15.00,45.00,40.00,420.00,384.00
35200005,10.00,0.00,50.00,25.00,505.00,408.00
35200006,10.00,0.00,55.00,40.00,395.00,527.00
35200007,0.00,0.00,75.00,65.00,575.00,653.00
35200009,0.00,0.00,30.00,25.00,195.00,293.00
35200010,25.00,10.00,35.00,30.00,290.00,274.00
35200012,30.00,0.00,40.00,35.00,445.00,503.00
35200013,0.00,0.00,,,80.00,59.00
35200018,10.00,10.00,325.00,220.00,380.00,497.00
35200028,100.00,0.00,320.00,225.00,1020.00,1174.00
35200029,50.00,0.00,45.00,35.00,250.00,378.00
35200030,0.00,20.00,55.00,30.00,470.00,521.00
35200031,40.00,0.00,195.00,170.00,960.00,1142.00
35200032,25.00,0.00,65.00,60.00,535.00,692.00
35200033,55.00,0.00,45.00,30.00,420.00,471.00
35200034,50.00,20.00,50.00,40.00,680.00,791.00
35200035,45.00,0.00,70.00,55.00,575.00,673.00
35200036,40.00,0.00,15.00,20.00,340.00,273.00
35200037,85.00,20.00,245.00,210.00,1100.00,1283.00
35200039,0.00,0.00,40.00,40.00,245.00,314.00
35200041,70.00,40.00,115.00,95.00,725.00,902.00
35200042,30.00,0.00,105.00,70.00,500.00,625.00
35200043,20.00,0.00,80.00,75.00,310.00,572.00
35200044,15.00,0.00,,,230.00,234.00
35200046,65.00,10.00,125.00,110.00,715.00,774.00
35200047,100.00,25.00,365.00,280.00,820.00,990.00
35200048,80.00,0.00,295.00,255.00,970.00,1004.00
35200049,35.00,20.00,235.00,135.00,720.00,809.00
35200050,85.00,10.00,210.00,140.00,905.00,1031.00
35200051,30.00,20.00,60.00,35.00,485.00,467.00
35200052,25.00,35.00,135.00,110.00,340.00,389.00
35200053,10.00,0.00,65.00,45.00,255.00,315.00
35200054,0.00,0.00,60.00,50.00,340.00,369.00
35200055,20.00,55.00,65.00,65.00,420.00,463.00
35200056,10.00,0.00,45.00,35.00,315.00,301.00
35200057,0.00,0.00,,,245.00,248.00
35200058,25.00,0.00,70.00,65.00,215.00,275.00
35200062,65.00,10.00,145.00,105.00,745.00,780.00
35200064,45.00,0.00,110.00,85.00,645.00,660.00
35200065,15.00,10.00,45.00,60.00,380.00,412.00
35200066,40.00,0.00,95.00,65.00,400.00,483.00
35200067,35.00,10.00,95.00,70.00,410.00,623.00
35200068,10.00,35.00,90.00,75.00,475.00,499.00
35200069,30.00,10.00,110.00,80.00,595.00,673.00
35200070,85.00,45.00,90.00,95.00,555.00,556.00
35200071,45.00,0.00,65.00,80.00,460.00,436.00
35200072,50.00,15.00,50.00,55.00,320.00,366.00
35200073,15.00,0.00,55.00,50.00,320.00,377.00
35200074,25.00,0.00,75.00,85.00,295.00,382.00
35200078,45.00,60.00,110.00,140.00,705.00,755.00
35200079,105.00,15.00,325.00,230.00,1240.00,1276.00
35200080,0.00,0.00,75.00,80.00,300.00,454.00
35200082,10.00,0.00,55.00,45.00,390.00,353.00
35200085,40.00,30.00,60.00,55.00,340.00,357.00
35200086,35.00,40.00,115.00,110.00,475.00,527.00
35200087,25.00,10.00,100.00,105.00,530.00,629.00
35200088,45.00,15.00,40.00,65.00,330.00,484.00
35200089,30.00,15.00,85.00,90.00,435.00,596.00
35200090,25.00,20.00,120.00,110.00,460.00,582.00
35200091,60.00,15.00,115.00,110.00,515.00,524.00
35200092,50.00,45.00,170.00,130.00,630.00,775.00
35200093,70.00,20.00,165.00,125.00,620.00,618.00
35200094,0.00,0.00,130.00,85.00,375.00,484.00
35200095,60.00,40.00,80.00,75.00,560.00,541.00
35200096,10.00,10.00,,,190.00,219.00
35200097,30.00,10.00,45.00,35.00,245.00,269.00
35200099,0.00,35.00,80.00,70.00,290.00,266.00
35200100,20.00,10.00,65.00,55.00,290.00,368.00
35200101,70.00,0.00,255.00,220.00,980.00,1123.00
35200102,25.00,95.00,210.00,180.00,810.00,892.00
35200103,15.00,15.00,65.00,55.00,250.00,281.00
35200104,75.00,80.00,205.00,230.00,950.00,1058.00
35200105,105.00,45.00,170.00,175.00,1275.00,1274.00
35200106,130.00,55.00,320.00,280.00,1445.00,1389.00
35200107,25.00,10.00,,,170.00,227.00
35200108,55.00,25.00,55.00,70.00,440.00,496.00
35200109,60.00,10.00,70.00,110.00,490.00,516.00
35200110,105.00,35.00,150.00,170.00,635.00,609.00
35200111,20.00,20.00,70.00,90.00,500.00,512.00
35200112,95.00,65.00,155.00,200.00,920.00,960.00
