"dauid","ctuid"
"10010647","0010171.00"
"10010779","0010200.02"
"10010246","0010016.02"
"10010588","0010301.01"
"10010191","0010001.00"
"10010299","0010007.00"
"10010264","0010015.02"
"10010773","0010200.01"
"10010458","0010170.01"
"10010171","0010170.02"
"10010268","0010015.04"
"10010295","0010007.00"
"10010617","0010202.04"
"10010276","0010015.01"
"10010457","0010170.01"
"10010305","0010006.00"
"10010800","0010202.02"
"10010636","0010172.02"
"10010233","0010012.00"
"10010192","0010001.00"
"10010788","0010200.03"
"10010193","0010001.00"
"10010630","0010172.03"
"10010801","0010202.02"
"10010620","0010172.04"
"10010196","0010002.00"
"10010637","0010172.06"
"10010606","0010202.05"
"10010234","0010011.00"
"10010195","0010002.00"
"10010263","0010015.02"
"10010795","0010200.01"
"10010786","0010200.02"
"10010771","0010200.02"
"10010235","0010012.00"
"10010656","0010172.05"
"10010228","0010005.02"
"10010294","0010007.00"
"10010236","0010012.00"
"10010248","0010004.00"
"10010290","0010007.00"
"10010255","0010014.00"
"10010168","0010170.02"
"10010306","0010006.00"
"10010486","0010008.00"
"10010182","0010170.01"
"10010174","0010003.02"
"10010216","0010002.00"
"10010632","0010172.02"
"10010778","0010200.02"
"10010822","0010100.01"
"10010181","0010170.01"
"10010262","0010015.02"
"10010279","0010015.01"
"10010304","0010006.00"
"10010346","0010015.03"
"10010802","0010202.02"
"10010790","0010200.03"
"10010243","0010004.00"
"10010303","0010006.00"
"10010204","0010003.01"
"10010223","0010005.02"
"10010170","0010170.02"
"10010167","0010170.02"
"10010285","0010015.01"
"10010648","0010171.00"
"10010658","0010172.05"
"10010301","0010006.00"
"10010298","0010010.00"
"10010297","0010010.00"
"10010824","0010100.01"
"10010485","0010015.04"
"10010825","0010017.00"
"10010222","0010005.02"
"10010237","0010012.00"
"10010166","0010170.02"
"10010283","0010015.01"
"10010784","0010200.02"
"10010334","0010202.01"
"10010209","0010004.00"
"10010664","0010172.05"
"10010232","0010011.00"
"10010300","0010006.00"
"10010260","0010015.02"
"10010642","0010172.06"
"10010805","0010202.05"
"10010284","0010015.01"
"10010229","0010011.00"
"10010296","0010007.00"
"10010227","0010005.02"
"10010272","0010015.04"
"10010342","0010015.03"
"10010818","0010202.04"
"10010339","0010015.03"
"10010256","0010014.00"
"10010348","0010016.01"
"10010249","0010016.02"
"10010200","0010003.01"
"10010207","0010004.00"
"10010776","0010200.02"
"10010482","0010009.00"
"10010231","0010011.00"
"10010593","0010300.00"
"10010206","0010003.02"
"10010221","0010005.01"
"10010277","0010015.01"
"10010797","0010201.00"
"10010253","0010013.00"
"10010625","0010172.03"
"10010492","0010100.01"
"10010619","0010202.04"
"10010198","0010002.00"
"10010343","0010015.03"
"10010210","0010004.00"
"10010307","0010005.01"
"10010655","0010172.05"
"10010278","0010015.01"
"10010214","0010002.00"
"10010240","0010004.00"
"10010639","0010172.02"
"10010302","0010006.00"
"10010273","0010015.04"
"10010461","0010170.02"
"10010782","0010200.02"
"10010780","0010200.02"
"10010238","0010012.00"
"10010678","0010100.03"
"10010654","0010172.05"
"10010609","0010202.05"
"10010791","0010200.03"
"10010628","0010171.00"
"10010172","0010170.02"
"10010247","0010016.02"
"10010310","0010013.00"
"10010175","0010003.02"
"10010602","0010300.00"
"10010265","0010015.02"
"10010176","0010003.02"
"10010640","0010172.02"
"10010459","0010170.02"
"10010213","0010002.00"
"10010244","0010004.00"
"10010257","0010014.00"
"10010251","0010013.00"
"10010796","0010200.01"
"10010629","0010172.02"
"10010201","0010003.01"
"10010258","0010014.00"
"10010633","0010172.02"
"10010357","0010016.02"
"10010259","0010014.00"
"10010242","0010004.00"
"10010641","0010172.06"
"10010252","0010013.00"
"10010769","0010201.00"
"10010768","0010201.00"
"10010484","0010003.02"
"10010585","0010301.01"
"10010224","0010005.01"
"10010792","0010200.03"
"10010657","0010172.05"
"10010282","0010015.01"
"10010793","0010200.03"
"10010212","0010002.00"
"10010798","0010201.00"
"10010815","0010016.02"
"10010615","0010202.04"
"10010627","0010172.03"
"10010821","0010100.01"
"10010772","0010200.02"
"10010261","0010015.02"
"10010592","0010301.01"
"10010239","0010005.02"
"10010589","0010301.01"
"10010245","0010016.02"
"10010631","0010172.02"
"10010491","0010100.01"
"10010250","0010012.00"
"10010623","0010172.04"
"10010650","0010171.00"
"10010652","0010172.04"
"10010494","0010100.01"
"10010226","0010005.02"
"10010488","0010003.01"
"10010241","0010004.00"
"10010649","0010171.00"
"10010794","0010200.01"
"10010653","0010172.04"
"10010180","0010170.01"
"10010173","0010003.02"
"10010493","0010100.01"
"10010626","0010172.03"
"10010806","0010202.05"
"10010169","0010170.02"
"10010267","0010015.04"
"10010218","0010005.01"
"10010225","0010005.02"
"10010215","0010002.00"
"10010645","0010171.00"
"10010202","0010003.01"
"10010799","0010202.02"
"10010668","0010202.05"
"10010660","0010172.05"
"10010662","0010172.05"
"10010783","0010200.02"
"10010194","0010001.00"
"10010254","0010014.00"
"10010187","0010100.01"
"10010309","0010010.00"
"10010341","0010015.03"
"10010217","0010002.00"
"10010646","0010171.00"
"10010340","0010015.03"
"10010616","0010202.04"
"10010266","0010015.02"
"10010820","0010202.04"
"10010622","0010172.04"
"10010634","0010172.02"
"10010770","0010201.00"
"10010624","0010172.03"
"10010280","0010015.01"
"10010605","0010202.05"
"10010785","0010200.02"
"10010271","0010015.04"
"10010308","0010011.00"
"10010230","0010011.00"
"10010203","0010003.01"
"10010584","0010301.01"
"10010338","0010016.02"
"10010219","0010005.01"
"10010635","0010172.02"
