"","fromId","min_travel_time"
"1","10033",28
"2","10034",28
"3","10035",34
"4","10036",34
"5","10037",34
"6","10038",34
"7","10039",34
"8","10040",21
"9","10041",21
"10","10042",21
"11","10043",21
"12","10044",21
"13","10045",27
"14","10046",21
"15","10047",19
"16","10048",17
"17","10049",14
"18","10050",16
"19","10051",4
"20","10052",8
"21","10053",8
"22","10054",7
"23","10055",4
"24","10056",4
"25","10057",12
"26","10058",15
"27","10059",16
"28","10060",31
"29","10061",29
"30","10062",26
"31","10063",19
"32","10064",19
"33","10065",19
"34","10066",29
"35","10067",25
"36","10068",25
"37","10069",25
"38","10070",25
"39","10071",25
"40","10072",25
"41","10073",21
"42","10074",20
"43","10075",13
"44","10076",13
"45","10077",8
"46","10078",8
"47","10079",14
"48","10080",6
"49","10081",8
"50","10082",10
"51","10083",13
"52","10084",16
"53","10085",18
"54","10086",19
"55","10087",14
"56","10088",15
"57","10089",13
"58","10090",17
"59","10091",22
"60","10092",20
"61","10093",21
"62","10094",21
"63","10095",20
"64","10096",17
"65","10097",17
"66","10098",17
"67","10099",17
"68","10100",17
"69","10101",17
"70","10102",21
"71","10103",21
"72","10104",21
"73","10105",28
"74","10106",29
"75","10107",31
"76","10108",28
"77","10109",31
"78","10110",31
"79","10111",40
"80","10112",40
"81","10113",29
"82","10114",29
"83","10115",29
"84","10116",29
"85","10117",18
"86","10118",18
"87","10119",18
"88","10120",18
"89","10121",18
"90","10122",26
"91","10123",26
"92","10124",26
"93","10125",23
"94","10126",14
"95","10127",20
"96","10128",23
"97","10129",25
"98","10130",25
"99","10131",25
"100","10132",25
"101","10133",32
"102","10134",32
"103","10135",32
"104","10136",32
"105","10137",32
"106","10138",32
"107","10139",38
"108","10142",38
"109","10143",38
"110","10144",35
"111","10145",35
"112","10146",38
"113","10147",38
"114","10148",38
"115","10149",38
"116","10150",35
"117","10151",35
"118","10152",35
"119","10153",35
"120","10154",35
"121","10155",35
"122","10245",28
"123","10246",28
"124","10247",34
"125","10248",34
"126","10249",34
"127","10250",34
"128","10251",34
"129","10252",34
"130","10253",21
"131","10254",21
"132","10255",32
"133","10256",21
"134","10257",21
"135","10258",21
"136","10259",21
"137","10260",19
"138","10261",20
"139","10262",17
"140","10263",18
"141","10264",21
"142","10265",8
"143","10266",10
"144","10267",10
"145","10268",1
"146","10269",4
"147","10270",9
"148","10271",11
"149","10272",14
"150","10273",30
"151","10274",29
"152","10275",29
"153","10276",19
"154","10277",19
"155","10278",19
"156","10279",29
"157","10280",29
"158","10281",25
"159","10282",25
"160","10283",25
"161","10284",25
"162","10285",23
"163","10286",21
"164","10287",13
"165","10288",25
"166","10289",25
"167","10290",12
"168","10291",15
"169","10292",12
"170","10293",4
"171","10294",7
"172","10295",9
"173","10296",14
"174","10297",15
"175","10298",12
"176","10299",10
"177","10300",13
"178","10301",16
"179","10302",13
"180","10303",17
"181","10304",17
"182","10305",17
"183","10306",17
"184","10307",21
"185","10308",16
"186","10309",18
"187","10310",19
"188","10311",17
"189","10312",17
"190","10313",21
"191","10314",21
"192","10315",21
"193","10316",17
"194","10317",20
"195","10318",28
"196","10319",29
"197","10320",31
"198","10321",28
"199","10322",28
"200","10323",31
"201","10324",31
"202","10325",31
"203","10326",29
"204","10327",29
"205","10328",29
"206","10329",27
"207","10330",18
"208","10331",18
"209","10332",18
"210","10333",18
"211","10334",17
"212","10335",18
"213","10336",26
"214","10337",15
"215","10338",12
"216","10339",22
"217","10340",23
"218","10341",26
"219","10342",25
"220","10343",25
"221","10344",25
"222","10345",25
"223","10346",25
"224","10347",32
"225","10348",32
"226","10349",32
"227","10350",38
"228","10351",38
"229","10352",35
"230","10353",38
"231","10354",38
"232","10355",38
"233","10356",38
"234","10357",35
"235","10358",35
"236","10359",35
"237","10360",38
"238","10361",41
"239","10362",38
"240","10363",35
"241","10364",35
"242","10365",35
"243","10366",35
"244","10367",35
"245","10368",35
"246","10456",28
"247","10457",28
"248","10458",28
"249","10459",39
"250","10460",34
"251","10461",34
"252","10462",34
"253","10463",34
"254","10464",34
"255","10465",34
"256","10466",32
"257","10467",32
"258","10468",32
"259","10469",27
"260","10470",21
"261","10471",21
"262","10472",21
"263","10473",26
"264","10474",19
"265","10475",20
"266","10476",23
"267","10477",12
"268","10478",13
"269","10479",12
"270","10480",5
"271","10481",8
"272","10482",11
"273","10483",14
"274","10484",16
"275","10485",17
"276","10486",19
"277","10487",19
"278","10488",19
"279","10489",19
"280","10490",19
"281","10491",19
"282","10492",19
"283","10493",29
"284","10494",25
"285","10495",25
"286","10496",25
"287","10497",23
"288","10498",20
"289","10499",23
"290","10500",25
"291","10501",25
"292","10502",16
"293","10503",12
"294","10504",20
"295","10505",11
"296","10506",9
"297","10507",11
"298","10508",12
"299","10509",11
"300","10510",9
"301","10511",10
"302","10512",13
"303","10513",13
"304","10514",13
"305","10515",17
"306","10516",17
"307","10517",17
"308","10518",16
"309","10519",14
"310","10520",14
"311","10521",17
"312","10522",21
"313","10523",21
"314","10524",20
"315","10525",21
"316","10526",21
"317","10527",29
"318","10528",17
"319","10529",17
"320","10530",28
"321","10531",29
"322","10532",28
"323","10533",28
"324","10534",28
"325","10535",31
"326","10536",31
"327","10537",31
"328","10538",29
"329","10539",29
"330","10540",27
"331","10541",25
"332","10542",18
"333","10543",20
"334","10544",18
"335","10545",17
"336","10546",14
"337","10547",13
"338","10548",12
"339","10549",14
"340","10550",9
"341","10551",13
"342","10552",16
"343","10553",26
"344","10554",26
"345","10555",26
"346","10556",26
"347","10557",25
"348","10558",17
"349","10559",32
"350","10560",32
"351","10561",32
"352","10562",32
"353","10563",38
"354","10564",35
"355","10565",38
"356","10566",38
"357","10567",38
"358","10568",35
"359","10569",35
"360","10570",35
"361","10571",39
"362","10572",41
"363","10573",35
"364","10574",35
"365","10575",11
"366","10576",35
"367","10577",35
"368","10578",35
"369","10579",35
"370","10580",35
"371","10668",28
"372","10669",28
"373","10670",28
"374","10671",28
"375","10672",33
"376","10673",34
"377","10674",34
"378","10675",34
"379","10676",34
"380","10677",34
"381","10678",34
"382","10679",32
"383","10680",32
"384","10681",27
"385","10682",27
"386","10683",21
"387","10684",21
"388","10685",22
"389","10686",27
"390","10687",22
"391","10688",22
"392","10689",25
"393","10690",14
"394","10691",13
"395","10692",9
"396","10693",7
"397","10694",9
"398","10695",10
"399","10696",13
"400","10697",16
"401","10698",25
"402","10699",19
"403","10700",19
"404","10701",19
"405","10702",19
"406","10703",19
"407","10704",19
"408","10705",19
"409","10706",29
"410","10707",19
"411","10708",25
"412","10709",25
"413","10710",23
"414","10711",25
"415","10712",25
"416","10713",31
"417","10714",17
"418","10715",19
"419","10716",20
"420","10717",13
"421","10718",10
"422","10719",17
"423","10720",14
"424","10721",10
"425","10722",7
"426","10723",7
"427","10724",12
"428","10725",13
"429","10726",17
"430","10727",17
"431","10728",16
"432","10729",15
"433","10730",17
"434","10731",14
"435","10732",11
"436","10733",13
"437","10734",15
"438","10735",21
"439","10736",20
"440","10737",20
"441","10738",20
"442","10739",29
"443","10740",20
"444","10741",28
"445","10742",28
"446","10743",28
"447","10744",28
"448","10745",28
"449","10746",28
"450","10747",31
"451","10748",28
"452","10749",31
"453","10750",39
"454","10751",37
"455","10752",28
"456","10753",26
"457","10754",21
"458","10755",19
"459","10756",16
"460","10757",15
"461","10758",13
"462","10759",12
"463","10760",10
"464","10761",8
"465","10762",8
"466","10763",11
"467","10764",13
"468","10765",16
"469","10766",17
"470","10767",26
"471","10768",32
"472","10769",25
"473","10770",32
"474","10771",25
"475","10772",25
"476","10773",25
"477","10774",32
"478","10775",32
"479","10776",32
"480","10777",38
"481","10778",38
"482","10779",38
"483","10780",38
"484","10781",35
"485","10782",35
"486","10783",29
"487","10784",29
"488","10785",29
"489","10786",35
"490","10787",35
"491","10788",35
"492","10789",35
"493","10790",11
"494","10791",35
"495","10792",35
"496","10793",38
"497","10880",28
"498","10881",28
"499","10882",28
"500","10883",28
"501","10884",39
"502","10885",34
"503","10886",34
"504","10887",34
"505","10888",34
"506","10889",34
"507","10890",34
"508","10891",32
"509","10892",27
"510","10893",27
"511","10894",27
"512","10895",26
"513","10896",27
"514","10897",27
"515","10898",27
"516","10899",25
"517","10900",21
"518","10901",17
"519","10902",17
"520","10903",11
"521","10904",11
"522","10905",10
"523","10906",11
"524","10907",14
"525","10908",16
"526","10909",17
"527","10910",23
"528","10911",22
"529","10912",19
"530","10913",19
"531","10914",19
"532","10915",19
"533","10916",19
"534","10917",19
"535","10918",19
"536","10919",19
"537","10920",19
"538","10921",25
"539","10922",25
"540","10923",25
"541","10924",25
"542","10925",32
"543","10926",34
"544","10927",15
"545","10928",15
"546","10929",14
"547","10930",15
"548","10931",14
"549","10932",14
"550","10933",11
"551","10934",4
"552","10935",8
"553","10936",10
"554","10937",14
"555","10938",14
"556","10939",14
"557","10940",14
"558","10941",12
"559","10942",13
"560","10943",9
"561","10944",10
"562","10945",15
"563","10946",18
"564","10947",19
"565","10948",20
"566","10949",20
"567","10950",20
"568","10951",20
"569","10952",20
"570","10953",28
"571","10954",29
"572","10955",29
"573","10956",28
"574","10957",28
"575","10958",28
"576","10959",28
"577","10960",28
"578","10961",31
"579","10962",31
"580","10963",40
"581","10964",27
"582","10965",25
"583","10966",21
"584","10967",18
"585","10968",16
"586","10969",13
"587","10970",10
"588","10971",8
"589","10972",11
"590","10973",5
"591","10974",9
"592","10975",11
"593","10976",14
"594","10977",16
"595","10978",17
"596","10979",17
"597","10980",17
"598","10981",30
"599","10982",17
"600","10983",32
"601","10984",25
"602","10985",32
"603","10986",25
"604","10987",32
"605","10988",25
"606","10989",35
"607","10990",38
"608","10991",35
"609","10992",35
"610","10993",29
"611","10994",29
"612","10995",29
"613","10996",29
"614","10997",29
"615","10998",29
"616","10999",35
"617","11000",35
"618","11001",35
"619","11002",35
"620","11003",35
"621","11004",35
"622","11005",41
"623","11092",28
"624","11093",28
"625","11094",28
"626","11095",39
"627","11096",34
"628","11097",39
"629","11098",34
"630","11099",34
"631","11100",34
"632","11101",34
"633","11102",34
"634","11103",34
"635","11104",34
"636","11105",37
"637","11106",22
"638","11107",22
"639","11108",27
"640","11109",32
"641","11110",31
"642","11111",26
"643","11112",17
"644","11113",21
"645","11114",17
"646","11115",14
"647","11116",13
"648","11117",13
"649","11118",13
"650","11119",13
"651","11120",16
"652","11121",18
"653","11122",20
"654","11123",20
"655","11124",19
"656","11125",19
"657","11126",19
"658","11127",19
"659","11128",19
"660","11129",19
"661","11130",19
"662","11131",19
"663","11132",19
"664","11133",25
"665","11134",25
"666","11135",25
"667","11136",25
"668","11137",36
"669","11138",36
"670","11139",34
"671","11140",16
"672","11141",16
"673","11142",15
"674","11143",12
"675","11144",15
"676","11145",9
"677","11146",1
"678","11147",9
"679","11148",12
"680","11149",12
"681","11150",14
"682","11151",14
"683","11152",13
"684","11153",14
"685","11154",12
"686","11155",8
"687","11156",8
"688","11157",10
"689","11158",13
"690","11159",15
"691","11160",20
"692","11161",20
"693","11162",20
"694","11163",20
"695","11164",20
"696","11165",29
"697","11166",29
"698","11167",29
"699","11168",28
"700","11169",28
"701","11170",28
"702","11171",28
"703","11172",28
"704","11173",31
"705","11174",31
"706","11175",31
"707","11176",33
"708","11177",27
"709","11178",24
"710","11179",18
"711","11180",15
"712","11181",13
"713","11182",12
"714","11183",10
"715","11184",11
"716","11185",4
"717","11186",6
"718","11187",7
"719","11188",10
"720","11189",14
"721","11190",16
"722","11191",17
"723","11192",17
"724","11193",17
