"","fromId","min_travel_time"
"1","10033",28
"2","10034",28
"3","10035",39
"4","10036",28
"5","10037",28
"6","10038",28
"7","10039",28
"8","10040",28
"9","10041",28
"10","10042",28
"11","10043",27
"12","10044",17
"13","10045",25
"14","10046",17
"15","10047",17
"16","10048",17
"17","10049",14
"18","10050",16
"19","10051",4
"20","10052",8
"21","10053",8
"22","10054",7
"23","10055",4
"24","10056",4
"25","10057",12
"26","10058",15
"27","10059",16
"28","10060",31
"29","10061",27
"30","10062",26
"31","10063",20
"32","10064",27
"33","10065",25
"34","10066",27
"35","10067",25
"36","10068",25
"37","10069",25
"38","10070",25
"39","10071",25
"40","10072",25
"41","10073",21
"42","10074",20
"43","10075",13
"44","10076",13
"45","10077",8
"46","10078",8
"47","10079",14
"48","10080",6
"49","10081",8
"50","10082",10
"51","10083",13
"52","10084",16
"53","10085",18
"54","10086",19
"55","10087",17
"56","10088",17
"57","10089",13
"58","10090",17
"59","10091",22
"60","10092",20
"61","10093",21
"62","10094",21
"63","10095",20
"64","10096",16
"65","10097",16
"66","10098",16
"67","10099",16
"68","10100",16
"69","10101",16
"70","10102",28
"71","10103",28
"72","10104",28
"73","10105",28
"74","10106",28
"75","10107",28
"76","10108",28
"77","10109",31
"78","10110",31
"79","10111",34
"80","10112",34
"81","10113",34
"82","10114",34
"83","10115",21
"84","10116",21
"85","10117",21
"86","10118",21
"87","10119",21
"88","10120",21
"89","10121",21
"90","10122",22
"91","10123",22
"92","10124",22
"93","10125",22
"94","10126",14
"95","10127",20
"96","10128",22
"97","10129",22
"98","10130",22
"99","10131",22
"100","10132",22
"101","10133",29
"102","10134",29
"103","10135",29
"104","10136",29
"105","10137",29
"106","10138",29
"107","10139",29
"108","10142",29
"109","10143",38
"110","10144",35
"111","10145",35
"112","10146",38
"113","10147",38
"114","10148",38
"115","10149",38
"116","10150",35
"117","10151",35
"118","10152",35
"119","10153",35
"120","10154",35
"121","10155",35
"122","10245",28
"123","10246",28
"124","10247",40
"125","10248",28
"126","10249",28
"127","10250",28
"128","10251",28
"129","10252",28
"130","10253",28
"131","10254",28
"132","10255",28
"133","10256",27
"134","10257",25
"135","10258",25
"136","10259",20
"137","10260",17
"138","10261",17
"139","10262",17
"140","10263",18
"141","10264",21
"142","10265",8
"143","10266",10
"144","10267",10
"145","10268",1
"146","10269",4
"147","10270",7
"148","10271",11
"149","10272",7
"150","10273",30
"151","10274",27
"152","10275",27
"153","10276",27
"154","10277",27
"155","10278",27
"156","10279",27
"157","10280",27
"158","10281",25
"159","10282",25
"160","10283",25
"161","10284",25
"162","10285",23
"163","10286",21
"164","10287",13
"165","10288",25
"166","10289",25
"167","10290",12
"168","10291",15
"169","10292",12
"170","10293",4
"171","10294",7
"172","10295",9
"173","10296",14
"174","10297",15
"175","10298",16
"176","10299",16
"177","10300",17
"178","10301",21
"179","10302",13
"180","10303",17
"181","10304",17
"182","10305",17
"183","10306",17
"184","10307",21
"185","10308",16
"186","10309",18
"187","10310",19
"188","10311",21
"189","10312",16
"190","10313",21
"191","10314",28
"192","10315",28
"193","10316",16
"194","10317",18
"195","10318",28
"196","10319",28
"197","10320",28
"198","10321",28
"199","10322",29
"200","10323",31
"201","10324",31
"202","10325",31
"203","10326",34
"204","10327",33
"205","10328",31
"206","10329",27
"207","10330",21
"208","10331",21
"209","10332",21
"210","10333",20
"211","10334",17
"212","10335",18
"213","10336",29
"214","10337",15
"215","10338",12
"216","10339",22
"217","10340",22
"218","10341",22
"219","10342",22
"220","10343",22
"221","10344",22
"222","10345",22
"223","10346",22
"224","10347",29
"225","10348",29
"226","10349",29
"227","10350",29
"228","10351",29
"229","10352",29
"230","10353",29
"231","10354",29
"232","10355",29
"233","10356",38
"234","10357",35
"235","10358",35
"236","10359",35
"237","10360",38
"238","10361",41
"239","10362",38
"240","10363",35
"241","10364",35
"242","10365",35
"243","10366",35
"244","10367",35
"245","10368",35
"246","10456",28
"247","10457",28
"248","10458",28
"249","10459",39
"250","10460",28
"251","10461",28
"252","10462",28
"253","10463",28
"254","10464",40
"255","10465",28
"256","10466",28
"257","10467",27
"258","10468",27
"259","10469",25
"260","10470",24
"261","10471",20
"262","10472",20
"263","10473",25
"264","10474",19
"265","10475",20
"266","10476",23
"267","10477",12
"268","10478",13
"269","10479",12
"270","10480",5
"271","10481",8
"272","10482",11
"273","10483",14
"274","10484",16
"275","10485",17
"276","10486",21
"277","10487",24
"278","10488",26
"279","10489",27
"280","10490",27
"281","10491",27
"282","10492",27
"283","10493",27
"284","10494",25
"285","10495",25
"286","10496",25
"287","10497",23
"288","10498",20
"289","10499",23
"290","10500",25
"291","10501",25
"292","10502",16
"293","10503",12
"294","10504",20
"295","10505",11
"296","10506",9
"297","10507",11
"298","10508",13
"299","10509",16
"300","10510",16
"301","10511",16
"302","10512",13
"303","10513",13
"304","10514",13
"305","10515",17
"306","10516",17
"307","10517",17
"308","10518",16
"309","10519",14
"310","10520",14
"311","10521",17
"312","10522",21
"313","10523",21
"314","10524",21
"315","10525",21
"316","10526",28
"317","10527",28
"318","10528",18
"319","10529",16
"320","10530",28
"321","10531",28
"322","10532",28
"323","10533",28
"324","10534",29
"325","10535",31
"326","10536",31
"327","10537",31
"328","10538",34
"329","10539",33
"330","10540",27
"331","10541",21
"332","10542",21
"333","10543",20
"334","10544",18
"335","10545",17
"336","10546",14
"337","10547",13
"338","10548",12
"339","10549",14
"340","10550",10
"341","10551",13
"342","10552",16
"343","10553",22
"344","10554",29
"345","10555",29
"346","10556",29
"347","10557",22
"348","10558",17
"349","10559",29
"350","10560",29
"351","10561",29
"352","10562",29
"353","10563",29
"354","10564",29
"355","10565",29
"356","10566",29
"357","10567",38
"358","10568",35
"359","10569",35
"360","10570",35
"361","10571",39
"362","10572",41
"363","10573",35
"364","10574",35
"365","10575",11
"366","10576",35
"367","10577",35
"368","10578",35
"369","10579",35
"370","10580",35
"371","10668",28
"372","10669",28
"373","10670",28
"374","10671",28
"375","10672",28
"376","10673",39
"377","10674",39
"378","10675",28
"379","10676",40
"380","10677",40
"381","10678",28
"382","10679",27
"383","10680",27
"384","10681",25
"385","10682",25
"386","10683",20
"387","10684",25
"388","10685",25
"389","10686",25
"390","10687",22
"391","10688",22
"392","10689",25
"393","10690",14
"394","10691",13
"395","10692",9
"396","10693",7
"397","10694",9
"398","10695",10
"399","10696",13
"400","10697",16
"401","10698",25
"402","10699",22
"403","10700",24
"404","10701",23
"405","10702",27
"406","10703",27
"407","10704",27
"408","10705",27
"409","10706",27
"410","10707",25
"411","10708",25
"412","10709",25
"413","10710",23
"414","10711",25
"415","10712",25
"416","10713",31
"417","10714",17
"418","10715",19
"419","10716",20
"420","10717",13
"421","10718",10
"422","10719",29
"423","10720",16
"424","10721",14
"425","10722",16
"426","10723",16
"427","10724",16
"428","10725",13
"429","10726",17
"430","10727",17
"431","10728",17
"432","10729",15
"433","10730",17
"434","10731",14
"435","10732",11
"436","10733",13
"437","10734",15
"438","10735",21
"439","10736",18
"440","10737",21
"441","10738",21
"442","10739",21
"443","10740",18
"444","10741",28
"445","10742",28
"446","10743",28
"447","10744",28
"448","10745",28
"449","10746",28
"450","10747",31
"451","10748",29
"452","10749",31
"453","10750",34
"454","10751",34
"455","10752",28
"456","10753",26
"457","10754",21
"458","10755",19
"459","10756",16
"460","10757",15
"461","10758",13
"462","10759",12
"463","10760",10
"464","10761",7
"465","10762",7
"466","10763",11
"467","10764",13
"468","10765",16
"469","10766",17
"470","10767",29
"471","10768",29
"472","10769",22
"473","10770",29
"474","10771",22
"475","10772",22
"476","10773",22
"477","10774",29
"478","10775",29
"479","10776",29
"480","10777",29
"481","10778",29
"482","10779",29
"483","10780",29
"484","10781",29
"485","10782",35
"486","10783",29
"487","10784",29
"488","10785",29
"489","10786",35
"490","10787",35
"491","10788",35
"492","10789",35
"493","10790",11
"494","10791",35
"495","10792",35
"496","10793",38
"497","10880",28
"498","10881",28
"499","10882",28
"500","10883",28
"501","10884",39
"502","10885",39
"503","10886",40
"504","10887",40
"505","10888",40
"506","10889",35
"507","10890",35
"508","10891",27
"509","10892",25
"510","10893",25
"511","10894",25
"512","10895",25
"513","10896",25
"514","10897",25
"515","10898",27
"516","10899",25
"517","10900",21
"518","10901",17
"519","10902",17
"520","10903",11
"521","10904",11
"522","10905",10
"523","10906",11
"524","10907",14
"525","10908",16
"526","10909",17
"527","10910",23
"528","10911",22
"529","10912",22
"530","10913",24
"531","10914",20
"532","10915",27
"533","10916",27
"534","10917",27
"535","10918",27
"536","10919",25
"537","10920",25
"538","10921",25
"539","10922",25
"540","10923",25
"541","10924",25
"542","10925",32
"543","10926",34
"544","10927",15
"545","10928",15
"546","10929",14
"547","10930",29
"548","10931",16
"549","10932",16
"550","10933",16
"551","10934",14
"552","10935",16
"553","10936",13
"554","10937",16
"555","10938",16
"556","10939",16
"557","10940",15
"558","10941",12
"559","10942",13
"560","10943",9
"561","10944",10
"562","10945",15
"563","10946",18
"564","10947",18
"565","10948",18
"566","10949",18
"567","10950",18
"568","10951",18
"569","10952",21
"570","10953",28
"571","10954",28
"572","10955",28
"573","10956",28
"574","10957",29
"575","10958",29
"576","10959",29
"577","10960",29
"578","10961",31
"579","10962",31
"580","10963",34
"581","10964",27
"582","10965",25
"583","10966",21
"584","10967",18
"585","10968",16
"586","10969",13
"587","10970",10
"588","10971",8
"589","10972",11
"590","10973",5
"591","10974",10
"592","10975",11
"593","10976",14
"594","10977",16
"595","10978",17
"596","10979",17
"597","10980",17
"598","10981",29
"599","10982",17
"600","10983",29
"601","10984",22
"602","10985",29
"603","10986",22
"604","10987",29
"605","10988",22
"606","10989",29
"607","10990",29
"608","10991",29
"609","10992",29
"610","10993",29
"611","10994",29
"612","10995",29
"613","10996",29
"614","10997",29
"615","10998",29
"616","10999",35
"617","11000",35
"618","11001",35
"619","11002",35
"620","11003",35
"621","11004",35
"622","11005",41
"623","11092",28
"624","11093",28
"625","11094",28
"626","11095",39
"627","11096",39
"628","11097",39
"629","11098",39
"630","11099",39
"631","11100",39
"632","11101",40
"633","11102",35
"634","11103",35
"635","11104",30
"636","11105",35
"637","11106",25
"638","11107",20
"639","11108",25
"640","11109",27
"641","11110",27
"642","11111",26
"643","11112",17
"644","11113",21
"645","11114",17
"646","11115",14
"647","11116",13
"648","11117",13
"649","11118",13
"650","11119",13
"651","11120",16
"652","11121",18
"653","11122",20
"654","11123",20
"655","11124",21
"656","11125",19
"657","11126",23
"658","11127",24
"659","11128",27
"660","11129",27
"661","11130",27
"662","11131",25
"663","11132",25
"664","11133",25
"665","11134",25
"666","11135",25
"667","11136",25
"668","11137",27
"669","11138",27
"670","11139",36
"671","11140",16
"672","11141",16
"673","11142",24
"674","11143",24
"675","11144",16
"676","11145",16
"677","11146",16
"678","11147",16
"679","11148",16
"680","11149",16
"681","11150",16
"682","11151",14
"683","11152",13
"684","11153",14
"685","11154",12
"686","11155",8
"687","11156",8
"688","11157",10
"689","11158",13
"690","11159",15
"691","11160",18
"692","11161",18
"693","11162",18
"694","11163",18
"695","11164",18
"696","11165",28
"697","11166",28
"698","11167",28
"699","11168",28
"700","11169",29
"701","11170",29
"702","11171",29
"703","11172",29
"704","11173",31
"705","11174",31
"706","11175",31
"707","11176",33
"708","11177",27
"709","11178",21
"710","11179",18
"711","11180",15
"712","11181",13
"713","11182",12
"714","11183",10
"715","11184",11
"716","11185",4
"717","11186",6
"718","11187",7
"719","11188",10
"720","11189",14
"721","11190",16
"722","11191",17
"723","11192",17
"724","11193",17
